,TERMINACION,CAMPO,LATITUD,LONGITUD
0,AGAVE_1,AGAVE,17.75271,-92.910489
1,AGAVE_1001,AGAVE,17.752748,-92.929428
2,AGAVE_1A,AGAVE,17.751712,-92.910859
3,AGAVE_201,AGAVE,17.72126,-92.872849
4,AGAVE_203,AGAVE,17.736873,-92.882192
5,AGAVE_221,AGAVE,17.713397,-92.868
6,AGAVE_221A,AGAVE,17.713497,-92.868203
7,AGAVE_222,AGAVE,17.713416,-92.877548
8,AGAVE_223,AGAVE,17.713441,-92.858706
9,AGAVE_232,AGAVE,17.721234,-92.872725
10,AGAVE_241,AGAVE,17.705604,-92.863408
11,AGAVE_242,AGAVE,17.724576,-92.877107
12,AGAVE_301,AGAVE,17.729478,-92.868112
13,AGAVE_301R,AGAVE,,
14,AGAVE_302,AGAVE,17.729471,-92.858619
15,AGAVE_303,AGAVE,17.729478,-92.868112
16,AGAVE_311,AGAVE,17.739575,-92.867004
17,AGAVE_32,AGAVE,17.767749,-92.919573
18,AGAVE_33,AGAVE,17.768247,-92.901143
19,AGAVE_36,AGAVE,17.768266,-92.938827
20,AGAVE_41,AGAVE,17.761126,-92.905794
21,AGAVE_42,AGAVE,17.759474,-92.913429
22,AGAVE_43,AGAVE,17.759843,-92.896324
23,AGAVE_45,AGAVE,17.760453,-92.887001
24,AGAVE_51,AGAVE,17.761137,-92.905958
25,AGAVE_512,AGAVE,17.744388,-92.905835
26,AGAVE_52,AGAVE,17.752594,-92.910561
27,AGAVE_522,AGAVE,17.747677,-92.911589
28,AGAVE_53,AGAVE,17.752593,-92.891648
29,AGAVE_53A,AGAVE,17.75258,-92.891622
30,AGAVE_54,AGAVE,17.752559,-92.919291
31,AGAVE_55,AGAVE,17.752603,-92.882283
32,AGAVE_55A,AGAVE,17.752603,-92.882283
33,AGAVE_56,AGAVE,17.752583,-92.929473
34,AGAVE_57,AGAVE,17.7526,-92.87544
35,AGAVE_61,AGAVE,17.745405,-92.895968
36,AGAVE_611,AGAVE,17.752673,-92.89163
37,AGAVE_612,AGAVE,17.739527,-92.896247
38,AGAVE_62,AGAVE,17.744718,-92.905846
39,AGAVE_621,AGAVE,17.749212,-92.906724
40,AGAVE_63,AGAVE,17.743491,-92.887154
41,AGAVE_64,AGAVE,17.744625,-92.915055
42,AGAVE_65,AGAVE,17.744579,-92.877722
43,AGAVE_71,AGAVE,17.736526,-92.891942
44,AGAVE_72,AGAVE,17.737632,-92.901987
45,AGAVE_721,AGAVE,17.742236,-92.900977
46,AGAVE_72A,AGAVE,17.737586,-92.90196
