TERMINACION,FECHA,CAMPO,TIPO DE REGISTRO,CERRADO(YAC),CERRADO(POZO),FLUYENDO(YAC),FLUYENDO(POZO)
SITIO_GDE_1,14/03/1972,SITIO GRANDE,C,449.6,449.6,,
SITIO_GDE_1,18/03/1972,SITIO GRANDE,C,449,449,,
SITIO_GDE_1,02/05/1972,SITIO GRANDE,C,455.704,456.1,,
SITIO_GDE_1,26/05/1972,SITIO GRANDE,F,,,446.716,458.2
SITIO_GDE_1,28/05/1972,SITIO GRANDE,C,446.716,447.2,,
SITIO_GDE_1,04/06/1972,SITIO GRANDE,F,,,451.604,451.64
SITIO_GDE_1,13/06/1972,SITIO GRANDE,C,442.916,442.916,,
SITIO_GDE_1,31/08/1972,SITIO GRANDE,F,,,443.416,443.4963
SITIO_GDE_1,23/11/1972,SITIO GRANDE,C,336.004,336.022,,
SITIO_GDE_1,10/04/1974,SITIO GRANDE,C,385.404,385.37,,
SITIO_GDE_1,18/12/1974,SITIO GRANDE,F,,,355.604,355.4
SITIO_GDE_1,05/04/1975,SITIO GRANDE,C,335.104,334.968,,
SITIO_GDE_1,31/07/1975,SITIO GRANDE,F,,,353.604,353.706
SITIO_GDE_1,01/08/1975,SITIO GRANDE,C,355.604,355.774,,
SITIO_GDE_1,27/11/1975,SITIO GRANDE,F,,,355.104,355.274
SITIO_GDE_1,24/07/1976,SITIO GRANDE,C,408.704,453.74,,
SITIO_GDE_1,19/05/1978,SITIO GRANDE,F,,,,
SITIO_GDE_1,12/07/1984,SITIO GRANDE,C,393.504,407.198,,
SITIO_GDE_1,03/08/1984,SITIO GRANDE,F,,,399.324,401.16
SITIO_GDE_1,14/08/1984,SITIO GRANDE,C,385.864,387.492,,
SITIO_GDE_1,14/01/1985,SITIO GRANDE,F,,,374.684,377.116
SITIO_GDE_1,08/03/1985,SITIO GRANDE,C,371.884,374.508,,
SITIO_GDE_1,08/05/1985,SITIO GRANDE,F,,,372.604,376.048
SITIO_GDE_1,11/07/1985,SITIO GRANDE,C,363.704,367.064,,
SITIO_GDE_1,29/09/1985,SITIO GRANDE,F,,,434.704,438.568
SITIO_GDE_1,07/06/1986,SITIO GRANDE,F,,,457.504,463.3598
SITIO_GDE_1,18/10/1993,SITIO GRANDE,C,398.254,412.2554,,
