,Pozo,Campo,Fecha,Tiempo,Dens.,Dens. M,Agua,Salinidad
0,SITIO_GDE_5,SITIO GRANDE,03/06/1975,1975,0.85,,3,2000
1,SITIO_GDE_5,SITIO GRANDE,13/06/1975,1975,0.85,,8,2000
2,SITIO_GDE_5,SITIO GRANDE,18/06/1975,1975,0.85,,9,2000
3,SITIO_GDE_5,SITIO GRANDE,30/07/1975,1976,0.85,,1,40000
4,SITIO_GDE_5,SITIO GRANDE,02/09/1975,1976,0.86,,13,1000
5,SITIO_GDE_5,SITIO GRANDE,17/09/1975,1976,0.86,,1.8,2000
6,SITIO_GDE_5,SITIO GRANDE,01/10/1975,1976,0.85,,2.2,1000
7,SITIO_GDE_5,SITIO GRANDE,30/12/1975,1976,0.85,,2.7,2000
8,SITIO_GDE_5,SITIO GRANDE,03/02/1976,1976,0.85,,4.5,2000
9,SITIO_GDE_5,SITIO GRANDE,22/03/1976,1976,0.85,,2.6,1000
10,SITIO_GDE_5,SITIO GRANDE,30/04/1976,1976,0.86,,9.5,1000
11,SITIO_GDE_5,SITIO GRANDE,06/05/1976,1976,0.85,,2.2,21000
12,SITIO_GDE_5,SITIO GRANDE,18/05/1976,1976,0.86,,6.65,1000
13,SITIO_GDE_5,SITIO GRANDE,17/01/1977,1977,0.85,,0.15,
14,SITIO_GDE_5,SITIO GRANDE,31/01/1977,1977,0.85,,3,69000
15,SITIO_GDE_5,SITIO GRANDE,23/02/1977,1977,0.85,,0.1,
16,SITIO_GDE_5,SITIO GRANDE,03/03/1977,1977,0.85,,0,
17,SITIO_GDE_5,SITIO GRANDE,28/03/1977,1977,0.84,,15,66000
18,SITIO_GDE_5,SITIO GRANDE,30/03/1977,1977,0.85,,0.2,
19,SITIO_GDE_5,SITIO GRANDE,11/04/1977,1977,0.85,,0.15,
20,SITIO_GDE_5,SITIO GRANDE,19/04/1977,1977,0.85,,0.15,
21,SITIO_GDE_5,SITIO GRANDE,26/04/1977,1977,0.85,,0,
22,SITIO_GDE_5,SITIO GRANDE,03/05/1977,1977,0.84,,0.6,2500
23,SITIO_GDE_5,SITIO GRANDE,23/05/1977,1977,0.85,,0.2,2500
24,SITIO_GDE_5,SITIO GRANDE,15/06/1977,1977,0.85,,0.15,2500
25,SITIO_GDE_5,SITIO GRANDE,20/06/1977,1977,0.85,,0.4,2500
26,SITIO_GDE_5,SITIO GRANDE,27/06/1977,1977,0.85,,0.2,2500
27,SITIO_GDE_5,SITIO GRANDE,05/07/1977,1978,0.85,,0.4,2500
28,SITIO_GDE_5,SITIO GRANDE,11/07/1977,1978,0.85,,0.4,2500
29,SITIO_GDE_5,SITIO GRANDE,26/07/1977,1978,0.85,,0.1,2500
30,SITIO_GDE_5,SITIO GRANDE,02/08/1977,1978,0.85,,0.3,2500
31,SITIO_GDE_5,SITIO GRANDE,19/08/1977,1978,0.85,,0.1,2500
32,SITIO_GDE_5,SITIO GRANDE,29/08/1977,1978,0.85,,0.2,2500
33,SITIO_GDE_5,SITIO GRANDE,19/09/1977,1978,0.85,,0.2,2500
34,SITIO_GDE_5,SITIO GRANDE,26/09/1977,1978,0.84,,0,2500
35,SITIO_GDE_5,SITIO GRANDE,10/01/1978,1978,0.85,,0.1,2500
36,SITIO_GDE_5,SITIO GRANDE,05/07/1978,1979,0.86,,2,282000
37,SITIO_GDE_5,SITIO GRANDE,13/05/1980,1980,0.87,,15,30000
38,SITIO_GDE_5,SITIO GRANDE,02/06/1980,1980,0.86,,2.7,49000
39,SITIO_GDE_5,SITIO GRANDE,08/06/1980,1980,0.87,,21,14000
40,SITIO_GDE_5,SITIO GRANDE,09/06/1980,1980,0.86,,1.6,11000
41,SITIO_GDE_5,SITIO GRANDE,09/06/1980,1980,0.86,,1.6,10000
42,SITIO_GDE_5,SITIO GRANDE,25/06/1980,1980,0.86,,1.2,62000
43,SITIO_GDE_5,SITIO GRANDE,02/07/1980,1981,0.86,,1.1,60000
44,SITIO_GDE_5,SITIO GRANDE,16/07/1980,1981,0.84,,0.8,60000
45,SITIO_GDE_5,SITIO GRANDE,01/08/1980,1981,0.88,,0.7,60000
46,SITIO_GDE_5,SITIO GRANDE,01/09/1980,1981,0.85,,1,90000
47,SITIO_GDE_5,SITIO GRANDE,16/10/1980,1981,0.86,,3.8,81000
48,SITIO_GDE_5,SITIO GRANDE,17/10/1980,1981,0.86,,3.8,81000
49,SITIO_GDE_5,SITIO GRANDE,21/10/1980,1981,0.86,,3.8,90000
50,SITIO_GDE_5,SITIO GRANDE,27/10/1980,1981,0.86,,3.8,100000
51,SITIO_GDE_5,SITIO GRANDE,13/01/1981,1981,0.88,,14,114000
52,SITIO_GDE_5,SITIO GRANDE,14/04/1981,1981,0.9,,20,129000
53,SITIO_GDE_5,SITIO GRANDE,19/04/1981,1981,0.84,,20,124000
54,SITIO_GDE_5,SITIO GRANDE,07/05/1981,1981,0.95,,42,124000
55,SITIO_GDE_5,SITIO GRANDE,26/05/1981,1981,0.81,,20,121000
56,SITIO_GDE_5,SITIO GRANDE,08/06/1981,1981,0.88,,12,117000
57,SITIO_GDE_5,SITIO GRANDE,15/06/1981,1981,0.89,,20,134000
58,SITIO_GDE_5,SITIO GRANDE,24/07/1981,1982,0.93,,43,143000
59,SITIO_GDE_5,SITIO GRANDE,29/07/1981,1982,0.89,,20,125000
60,SITIO_GDE_5,SITIO GRANDE,31/08/1981,1982,0.97,,60,125000
61,SITIO_GDE_5,SITIO GRANDE,11/09/1981,1982,0.91,,17,155000
62,SITIO_GDE_5,SITIO GRANDE,21/09/1981,1982,0.91,,38,140000
